subject,english,firstLanguage,otherLanguage,gender,age
1,Yes,,Mandarin (at age 1) ,female,22
2,Yes,,Cantonese (4),female,20
3,Yes,,Not fluently,female,19
4,Yes,,,male,19
5,Yes,,"french (also my first language)
italian (age 3)",female,20
6,No,Cantonese,,female,21
7,Yes,,,female,20
8,No,spanish,,female,18
9,No,Chinese,,female,24
10,No,Chinese,"English, at about 15. ",female,20
11,Yes,,Cantonese 3,female,19
12,No,Vietnamese,,female,21
13,Yes,,,male,19
14,No,Mandarin,"English (9 years old, started learning when I was 5)
Mandarin (mother language)",female,20
15,Yes,,no,female,19
16,Yes,,spanish age 6 ,female,20
17,Yes,,"Korean, fluent since birth",female,18
18,No,Spanish,N/A,female,20
19,No,Chinese,,female,19
20,No,Mandarin,"Shanghai Dialect. Language used at home between parents, only became fluent until 18.",female,19
21,Yes,,,female,21
22,No,Polish,"Polish (first language), English (became fluent when 15/16)",female,20
23,Yes,,,female,19
24,No,Chinese,"Chinese from born
English at around 13",female,19
25,No,Cantonese,"Cantonese, English",male,21
26,No,Chinese,"Vietnamese - age 6
English - age 8",female,22
27,Yes,,American Sign Language (8),female,21
28,Yes,,,female,19
29,No,Chinese,English - 6 years old,female,20
30,No,vietnamese,english,female,19
31,Yes,,"Shanghainese (1 year old), Mandarin (3 years old), Cantonese (3 years old), Korean (7 years old), English (1 year old)",female,20
32,No,chinese,,female,20
33,Yes,,,female,18
34,Yes,,Spanish (same age as English),female,19
35,No,Cantonese,"Chinese, 5
English, 7",female,21
36,Yes,,,female,19
37,No,mandarin,english 16 years old ,female,18
39,No,Korean,no,male,26
40,Yes,,,male,25
41,Yes,,Cantonese (age 8),female,19
42,No,Spanish,english- 5 yrs old,female,18
43,No,Spanish,Only Spanish and English ,female,23
44,Yes,,Vietnamese -- 10,male,21
45,Yes,,Chinese Age 2,female,21
46,No,Chinese,"Chinese 6
English 19",female,25
47,Yes,,,---,19
48,No,Chinese,"English, age of 12
",male,19
49,Yes,,,female,20
50,No,Mandarine,,female,22
51,No,chinese,,female,21
52,No,Mandarin,English-16 years old,female,22
53,No,Korean,"Korean - 3
English - 21",male,23
54,No,Arabic,No,female,20
55,No,Chinese,"Chinese, 5 yrs
English,15 yrs",male,19
56,No,Korean,,female,20
57,Yes,,Korean - not fully fluent yet,female,21
58,Yes,,"Spanish 18
Tagalog 16",female,21
59,Yes,,"Spanish (14)
Korean (10)",female,19
60,Yes,,Spanish,male,21
61,No,Cantonese,"English (14 years old)
Mandarin (9 years old)",female,21
62,No,spanish ,english 8 ,female,19
63,No,Korean,English - high school ,female,22
64,No,mandarin,"mandarin: 4,5yr
English:12,13yr",female,19
65,Yes,,N/A,female,19
66,Yes,,Spanish; ~5 y/o,female,21
67,No,Spanish,"Spanish (birth language so i guess like 2)
English (3)
French (conversational, started at age 15)",female,19
68,Yes,,,male,21
69,No,Chinese,"English at 10
",female,20
70,No,Armenian,,female,18
71,Yes,,,male,20
